2017:03:23 09:12:28.364 INFO  --- [restartedMain] c.exem.sf.SfTemplateWebApplication : No active profile set, falling back to default profiles: default 
2017:03:23 09:12:28.430 INFO  --- [restartedMain] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5d573dfa: startup date [Thu Mar 23 09:12:28 KST 2017]; root of context hierarchy 
2017:03:23 09:12:29.550 INFO  --- [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$34cde7ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2017:03:23 09:12:29.802 INFO  --- [restartedMain] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2017:03:23 09:12:29.809 INFO  --- [restartedMain] o.a.catalina.core.StandardService : Starting service Tomcat 
2017:03:23 09:12:29.810 INFO  --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.11 
2017:03:23 09:12:29.868 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2017:03:23 09:12:29.868 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1439 ms 
2017:03:23 09:12:29.963 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2017:03:23 09:12:29.966 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2017:03:23 09:12:29.967 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
